,Condo Name,Address
1,One CANBERRA,"One CANBERRA, Singapore"
2,1 KIM KEAT CLOSE,"1 KIM KEAT CLOSE, Singapore"
3,1 LOFT,"1 LOFT, Singapore"
4,1 MOULMEIN RISE,"1 MOULMEIN RISE, Singapore"
5,1 SUITES,"1 SUITES, Singapore"
6,10 SHELFORD,"10 SHELFORD, Singapore"
9,111 EMERALD HILL,"111 EMERALD HILL, Singapore"
10,15 EASTWOOD GREEN,"15 EASTWOOD GREEN, Singapore"
11,16 @ AMBER,"16 @ AMBER, Singapore"
12,18 WOODSVILLE,"18 WOODSVILLE, Singapore"
16,21 RICHARDS,"21 RICHARDS, Singapore"
18,24 ONE RESIDENCES,"24 ONE RESIDENCES, Singapore"
19,26 NEWTON,"26 NEWTON, Singapore"
22,28 IMPERIAL RESIDENCES,"28 IMPERIAL RESIDENCES, Singapore"
23,28 RC SUITES,"28 RC SUITES, Singapore"
27,33 RESIDENCES,"33 RESIDENCES, Singapore"
28,336 RIVER VALLEY,"336 RIVER VALLEY, Singapore"
29,368 THOMSON,"368 THOMSON, Singapore"
30,38 AMBER,"38 AMBER, Singapore"
31,38 DRAYCOTT DRIVE,"38 DRAYCOTT DRIVE, Singapore"
32,38 I SUITES,"38 I SUITES, Singapore"
35,448 @ EAST COAST,"448 @ EAST COAST, Singapore"
36,57 @ KOVAN,"57 @ KOVAN, Singapore"
38,6 DERBYSHIRE,"6 DERBYSHIRE, Singapore"
41,7 ON CHAPEL,"7 ON CHAPEL, Singapore"
42,70@TRURO,"70@TRURO, Singapore"
45,8 @ WOODLEIGH,"8 @ WOODLEIGH, Singapore"
46,8 BASSEIN,"8 BASSEIN, Singapore"
47,8 EDEN GROVE,"8 EDEN GROVE, Singapore"
48,8 FARRER SUITES,"8 FARRER SUITES, Singapore"
49,8 HULLET,"8 HULLET, Singapore"
50,8 NAPIER,"8 NAPIER, Singapore"
51,8 NASSIM HILL,"8 NASSIM HILL, Singapore"
53,8 RAJA,"8 RAJA, Singapore"
54,8 SAINT THOMAS,"8 SAINT THOMAS, Singapore"
56,8M RESIDENCES,"8M RESIDENCES, Singapore"
59,AALTO,"AALTO, Singapore"
60,ADAM GREEN,"ADAM GREEN, Singapore"
61,ADANA @ THOMSON,"ADANA @ THOMSON, Singapore"
62,ADORA GREEN,"ADORA GREEN, Singapore"
63,ADRIA,"ADRIA, Singapore"
66,ALBA,"ALBA, Singapore"
67,ALESSANDREA,"ALESSANDREA, Singapore"
68,ALEX RESIDENCES,"ALEX RESIDENCES, Singapore"
70,ALEXIS,"ALEXIS, Singapore"
71,ALLSWORTH PARK,"ALLSWORTH PARK, Singapore"
72,ALOCASSIA APARTMENTS,"ALOCASSIA APARTMENTS, Singapore"
74,AMANINDA,"AMANINDA, Singapore"
75,AMARANDA GARDENS,"AMARANDA GARDENS, Singapore"
76,AMARYLLIS VILLE,"AMARYLLIS VILLE, Singapore"
77,AMBER 45,"AMBER 45, Singapore"
78,AMBER PARK,"AMBER PARK, Singapore"
79,AMBER POINT,"AMBER POINT, Singapore"
80,AMBER RESIDENCES,"AMBER RESIDENCES, Singapore"
81,AMBER SKYE,"AMBER SKYE, Singapore"
82,AMORE,"AMORE, Singapore"
83,AMPAS APARTMENTS,"AMPAS APARTMENTS, Singapore"
88,APLETON VIEW,"APLETON VIEW, Singapore"
90,AQUARIUS BY THE PARK,"AQUARIUS BY THE PARK, Singapore"
92,ARC AT TAMPINES,"ARC AT TAMPINES, Singapore"
93,ARCHIPELAGO,"ARCHIPELAGO, Singapore"
94,ARDMORE 3,"ARDMORE 3, Singapore"
95,ARDMORE II,"ARDMORE II, Singapore"
96,ARDMORE PARK,"ARDMORE PARK, Singapore"
97,ARDMORE RESIDENCE,"ARDMORE RESIDENCE, Singapore"
100,ARTRA,"ARTRA, Singapore"
101,ASCENT @ 456,"ASCENT @ 456, Singapore"
102,ASCENTIA SKY,"ASCENTIA SKY, Singapore"
103,ASPEN HEIGHTS,"ASPEN HEIGHTS, Singapore"
104,ASPEN LOFT,"ASPEN LOFT, Singapore"
107,ASTOR GREEN,"ASTOR GREEN, Singapore"
108,ASTORIA PARK,"ASTORIA PARK, Singapore"
109,ASTRID MEADOWS,"ASTRID MEADOWS, Singapore"
111,ATRIUM RESIDENCES,"ATRIUM RESIDENCES, Singapore"
114,AUSTVILLE RESIDENCES,"AUSTVILLE RESIDENCES, Singapore"
115,AVA TOWERS,"AVA TOWERS, Singapore"
116,AVALON,"AVALON, Singapore"
117,AVENUE PARK,"AVENUE PARK, Singapore"
118,AVILA GARDENS,"AVILA GARDENS, Singapore"
119,AVON PARK,"AVON PARK, Singapore"
120,AXIS @ SIGLAP,"AXIS @ SIGLAP, Singapore"
121,AZALEA PARK CONDOMINIUM,"AZALEA PARK CONDOMINIUM, Singapore"
122,BAGNALL COURT,"BAGNALL COURT, Singapore"
123,BALCON EAST,"BALCON EAST, Singapore"
126,BALESTIER PLAZA,"BALESTIER PLAZA, Singapore"
127,BALESTIER POINT,"BALESTIER POINT, Singapore"
128,BALESTIER REGENCY,"BALESTIER REGENCY, Singapore"
129,BALLOTA PARK CONDOMINIUM,"BALLOTA PARK CONDOMINIUM, Singapore"
130,BALMORAL 8,"BALMORAL 8, Singapore"
