Condo Name,Address,Postal Code
1 CANBERRA,7 Canberra Drive,768069
1 KIM KEAT CLOSE,1 Kim Keat Close,328913
1 KING ALBERT PARK,1 King Albert Park,598326
1 LOFT,1 Lorong 24 Geylang,398614
1 MOULMEIN RISE,1 Moulmein Rise,308143
1 SUITES,1 Lorong 20 Geylang,398721
10 SHELFORD,10 Shelford Road,288353
104 JALAN JURONG KECHIL,104 Jalan Jurong Kechil,598603
11 AMBER ROAD,11 Amber Road,439857
111 EMERALD HILL,111 Emerald Hill Road,229391
12 ON SHAN,Shan Road,
132A SOPHIA ROAD,Sophia Road,
15 EASTWOOD GREEN,15 Eastwood Green,486420
16 @ AMBER,16 Amber Road,439866
17 EASTWOOD GREEN,17 Eastwood Green,486421
18 EASTWOOD GREEN,18 Eastwood Green,486469
18 SHELFORD,18 Shelford Road,288407
18 WOODSVILLE,18 Woodsville Close,357799
183 LONGHAUS,183 Upper Thomson Road,574429
19 EASTWOOD GREEN,19 Eastwood Green,486422
1919,110 Sophia Road,228175
1A JALAN KEMAMAN,1a Jalan Kemaman,329317
2 BELMONT,2 Belmont Road,269854
2 RVG,2 River Valley Grove,238405
2 ST. GEORGES ROAD,2 St. Georges Road,328023
20 EASTWOOD GREEN,20 Eastwood Green,486470
21 ANDERSON ROYAL OAK RESIDENCE,Anderson Road,
21 EASTWOOD GREEN,21 Eastwood Green,486423
21 RICHARDS,21 Richards Avenue,546430
21A JALAN MAS PUTEH,Jalan Mas Puteh,
22 EASTWOOD GREEN,22 Eastwood Green,486471
23 EASTWOOD GREEN,23 Eastwood Green,486424
23 RAMBUTAN ROAD,23 Rambutan Road,424301
24 EASTWOOD GREEN,24 Eastwood Green,486472
24 ONE RESIDENCES,241 Pasir Panjang Road,118596
25 EASTWOOD GREEN,25 Eastwood Green,486425
26 EASTWOOD GREEN,26 Eastwood Green,486473
26 NEWTON,26 Newton Road,307957
27 BALMORAL PARK,27 Balmoral Park,259855
27 EASTWOOD GREEN,27 Eastwood Green,486366
28 EASTWOOD GREEN,28 Eastwood Green,486474
28 GILSTEAD ROAD,28 Gilstead Road,309072
28 IMPERIAL RESIDENCES,28 Lorong 26 Geylang,398495
28 RC SUITES,28 Race Course Lane,218746
28 SHELFORD,28 Shelford Road,288422
282B JOO CHIAT ROAD,282b Joo Chiat Road,427536
283 STUDIO,283 River Valley Road,238324
29 EASTWOOD GREEN,29 Eastwood Green,486367
3 @ PHILLIPS,3 Phillips Avenue,546920
3 @ SANDILANDS,3 Sandilands Road,546066
3 ORCHARD BY-THE-PARK,3 Orchard Boulevard,248653
30 EASTWOOD GREEN,30 Eastwood Green,486475
31 EASTWOOD GREEN,31 Eastwood Green,486368
32 EASTWOOD GREEN,32 Eastwood Green,486476
33 EASTWOOD GREEN,33 Eastwood Green,486369
33 RESIDENCES,33 Lorong 30 Geylang,398366
336 RIVER VALLEY,336 River Valley Road,238366
34 EASTWOOD GREEN,34 Eastwood Green,486563
35 EASTWOOD GREEN,35 Eastwood Green,486370
35 KIM YAM ROAD,35 Kim Yam Road,239343
36 EASTWOOD GREEN,36 Eastwood Green,486564
368 THOMSON,368 Thomson Road,298127
37 EASTWOOD GREEN,37 Eastwood Green,486371
38 AMBER,38 Amber Road,439877
38 DRAYCOTT DRIVE,38 Draycott Drive,259428
38 EASTWOOD GREEN,38 Eastwood Green,486565
38 I SUITES,38 Ipoh Lane,438646
38 STEVENS ROAD,38 Stevens Road,257845
381 PASIR PANJANG ROAD,381 Pasir Panjang Road,118713
39 EASTWOOD GREEN,39 Eastwood Green,486426
40 EASTWOOD GREEN,40 Eastwood Green,486566
41 EASTWOOD GREEN,41 Eastwood Green,486427
42 EASTWOOD GREEN,42 Eastwood Green,486567
43 EASTWOOD GREEN,43 Eastwood Green,486428
44 EASTWOOD GREEN,44 Eastwood Green,486568
448 @ EAST COAST,448 East Coast Road,429021
45 EASTWOOD GREEN,45 Eastwood Green,486429
46 EASTWOOD GREEN,46 Eastwood Green,486569
47 EASTWOOD GREEN,47 Eastwood Green,486430
48 EASTWOOD GREEN,48 Eastwood Green,486570
49 EASTWOOD GREEN,49 Eastwood Green,486431
50 EASTWOOD GREEN,50 Eastwood Green,486571
57 @ KOVAN,57 Kovan Road,548147
57 KILLINEY ROAD,57 Killiney Road,239520
6 DERBYSHIRE,6 Derbyshire Road,309462
6 UPPER EAST COAST ROAD,6 Upper East Coast Road,455200
62 CHANGI ROAD,62 Changi Road,419713
7 CLAYMORE,Claymore Road,
7 ON CHAPEL,7 Chapel Road,429510
70@TRURO,70 Truro Road,217618
71 WEST COAST HIGHWAY,71 West Coast Highway,126844
72 GRANGE ROAD,72 Grange Road,249576
76 SHENTON,76 Shenton Way,079119
8 @ MOUNT SOPHIA,4 Mount Sophia,228451
8 @ WOODLEIGH,2 Woodleigh Close,357900
8 BASSEIN,8 Bassein Road,309838
8 EDEN GROVE,8 Eden Grove,539060
8 FARRER SUITES,8 Sing Joo Walk,217820
8 HULLET,8 Hullet Road,229160
8 NAPIER,8 Napier Road,258502
8 NASSIM HILL,8 Nassim Hill,258484
8 ORANGE GROVE ROAD,8 Orange Grove Road,258342
8 RAJA,8 Jalan Raja Udang,329217
8 RODYK,8 Rodyk Street,238216
8 SAINT THOMAS,10 Saint Thomas Walk,238102
833 M B RESIDENCES,833 Mountbatten Road,437826
8M RESIDENCES,8 Margate Road,438049
90 HOLLAND ROAD,90 Holland Road,278535
91 MARSHALL,91 Marshall Road,424887
A TREASURE TROVE,58 Punggol Walk,828779
AALTO,191 Meyer Road,437980
ABELIA,2a Ardmore Park,259948
ADAM GARDEN,Adam Road,
ADAM GREEN,7 Adam Road,289885
ADAM PARK,Adam Road,289902
ADANA @ THOMSON,8 Old Upper Thomson Road,573868
ADIS VILLA,12 Adis Road,229976
ADIS VILLAS,Adis Road,
ADORA GREEN,134 Yishun Ave 11,761348
ADRIA,12 Derbyshire Road,309466
ADVANCE APARTMENTS,8 Lorong 25a Geylang,388222
AFFLUENCE COURT,8 Ah Soo Garden,539960
AIRSTREAM,26 Saint Michael's Road,327994
AIRVIEW TOWERS,2 St. Thomas Walk,238097
AKYAB APARTMENTS,1 Akyab Road,309972
AKYAB ROAD,4 Akyab Road,309974
AKZONOBEL HOUSE,3 Changi Business Park Vista,486051
ALBA,8 Cairnhill Rise,229743
ALDEA BLANCA,474 Upper East Coast Road,466515
ALEGRIA,323c Thomson Road,307669
ALESSANDREA,31 Alexandra Road,159967
ALEX RESIDENCES,28 Alexandra View,158744
ALEXANDRA ROAD,141 Alexandra Road,159922
ALEXIS,354 Alexandra Road,159948
ALFRESCO SPACE,West Coast Drive,
ALLSWORTH PARK,361 Holland Road,278637
ALOCASSIA APARTMENTS,383 Bukit Timah Road,259727
ALPHA APARTMENTS,98 Koon Seng Road,427037
ALTEZ,16 Enggor Street,079717
AMANINDA,329 Thomson Road,307674
AMARANDA GARDENS,118 Serangoon Avenue 3,554773
AMARYLLIS VILLE,20 Newton Road,307953
AMBER 45,45 Amber Road,439886
AMBER CLOSE,18 Amber Close,439982
AMBER GLADES,30 Amber Gardens,439964
AMBER LODGE,50 Amber Road,439888
AMBER PARK,14 Amber Gardens,439960
AMBER POINT,1 Amber Road,439845
AMBER RESIDENCES,50 Amber Road,439888
AMBER SKYE,8 Amber Road,439853
AMBER TOWERS (EMBLOC),8 Amber Road,439853
AMBERGLADES,Amber Gardens,
AMBERVILLE,50a Marine Parade Road,449266
AMORE,160 Punggol Central,820160
AMPAS APARTMENTS,5 Jalan Ampas,329506
AMSTERDAM APARTMENTS,2 Greenleaf Walk,279225
AMYTON COURT,40 St. Michaels Road,328001
ANAMALAI AVENUE,3a Anamalai Avenue,279976
ANCHOR GARDENS,410 Upper East Coast Road,466486
ANGEL COURT,Moulmein Road,
ANGULLIA HEIGHTS,Angullia Park,
ANGULLIA MANSIONS,18 Angullia Park,239973
ANGULLIA PARK RESIDENCES @ ORCHARD,5 Cuscaden Walk,249696
ANGULLIA VIEW,29 Angullia Park,239977
AO JIANG APARTMENTS,15 Meyappa Chettiar Road,358458
APARTMENT 8,21 Meyappa Chettiar Road,358461
APLETON VIEW,71 Sinaran Drive,308323
AQUARINE GARDENS,91 Upper East Coast Road,455225
AQUARIUS BY THE PARK,1 Bedok Reservoir View,478926
AQUENE,25 Lorong Bandang,426341
ARANG COURT,Arang Drive,
ARC AT TAMPINES,3 Tampines Avenue 8,529595
ARCHIPELAGO,501 Bedok Reservoir Road,479267
ARDMORE 3,3 Ardmore Park,259950
ARDMORE II,2 Ardmore Park,259947
ARDMORE PARK,9 Ardmore Park,259955
ARDMORE POINT,1a Ardmore Park,259945
ARDMORE RESIDENCE,7 Ardmore Park,259954
ARDMORE THREE,Ardmore Park,
ARDMORE VIEW,2b Ardmore Park,259949
AROOZOO CENTRE,3 Aroozoo Lane,539796
ARTHUR 118,118 Arthur Road,439827
ARTHUR COURT,118 Arthur Road,439827
ARTHUR MANSIONS,125 Arthur Road,439829
ARTRA,12 Alexandra View,158736
ASCENT @ 456,456 Balestier Road,329832
ASCENTIA SKY,1 Alexandra View,158748
ASIA GARDENS,42 Everton Road,089394
ASIMONT GARDENS,Asimont Lane,309950
ASPEN HEIGHTS,261 River Valley Road,238307
ASPEN LINQ,15 Institution Hill,239669
ASPEN LOFT,170 Joo Chiat Terrace,427317
ASTON LODGE,56 Lorong 8 Geylang,399116
ASTON MANSIONS,3 Lorong 42 Geylang,398026
ASTOR,51c Lengkong Empat,417660
ASTOR GREEN,3 Pine Grove,597590
ASTORIA APARTMENTS,6 Cairnhill Rise,229741
ASTORIA PARK,30 Lorong Mydin,416825
ASTRID MEADOWS,38 Coronation Road West,269257
ATHENA VILLE,25 Lorong 29 Geylang,388074
ATRIUM RESIDENCES,512 Geylang Road,389468
ATTITUDE AT KIM YAM,1 Kim Yam Road,239319
AURA 83,83 Duku Road,429247
AURA PARK,53 Holland Road,258859
AURALIS,587 East Coast Road,423423
AUSTRAL VIEW,6 Tanjong Rhu Road,436883
AUSTVILLE RESIDENCES,11 Sengkang East Avenue,544804
AUTUMN GLORY,1a Rose Lane,437360
AUTUMN TEN MANSIONS,489 Dunman Road,439192
AVA TOWERS,10 Ava Road,329949
AVALON,23 Anderson Road,259985
AVANT AT ALJUNIED,10 Aljunied Road,
AVENUE PARK,140 Sixth Avenue,276531
AVILA GARDENS,11 Flora Road,509732
AVON PARK,1 Youngberg Terrace,357741
AXIS @ SIGLAP,59 East Coast Terrace,458950
AZALEA PARK CONDOMINIUM,2 Flora Road,509725
BAGNALL COURT,811 Upper East Coast Road,466608
BALCON EAST,482 Upper East Coast Road,466519
BALESTIER 288,288 Balestier Road,329731
BALESTIER COMPLEX,262 Balestier Road,329714
BALESTIER COURT,11 Jalan Raja Udang,329191
BALESTIER MANSION,4 Ah Hood Road,329973
BALESTIER PLAZA,400 Balestier Road,329802
BALESTIER POINT,279 Balestier Road,329727
BALESTIER REGENCY,4 Jalan Ampas,329505
BALESTIER ROAD,1 Balestier Road,329670
BALESTIER TOWERS,207 Balestier Road,329683
BALLOTA PARK,Mariam Way,507086
BALLOTA PARK CONDOMINIUM,150 Mariam Way,507079
BALMEG COURT,6 Balmeg Hill,119906
BALMORAL 8,8 Balmoral Road,259792
BALMORAL CONDOMINIUM,16 Balmoral Road,259802
BALMORAL COURT,15 Balmoral Road,259801
BALMORAL CREST,1 Balmoral Crescent,259882
BALMORAL GARDEN,11b Balmoral Road,259797
BALMORAL GATE,33 Balmoral Road,259811
BALMORAL GREEN,13 Balmoral Road,259799
BALMORAL GROVE,19 Balmoral Road,259804
BALMORAL HAVEN,Balmoral Crescent,
BALMORAL HEIGHTS,8 Balmoral Crescent,259928
BALMORAL HILLS,9 Balmoral Park,259844
BALMORAL LUCK,6 Balmoral Road,259787
BALMORAL PARK,5c Balmoral Park,259831
BALMORAL PLACE,20 Balmoral Crescent,259917
BALMORAL PLAZA,271 Bukit Timah Road,259708
BALMORAL POINT,23 Balmoral Road,259806
BALMORAL RESIDENCES,12 Balmoral Crescent,259905
BALMORAL TOWER,27 Balmoral Road,259808
BALMORAL VIEW,9 Balmoral Crescent,259902
BALMY COURT,6 Lorong 27a Geylang,388105
BANYAN CONDOMINIUM,1 Chwee Chian Road,119744
BAODE BUILDING,8 Lorong 35 Geylang,387940
BARTLEY COURT,Bartley Road,
BARTLEY GROVE,9a Bartley Road,539770
BARTLEY RESIDENCES,1 Lorong How Sun,536558
BARTLEY RIDGE,30 Mount Vernon Road,368055
BARTLEY VUE,6 Jalan Bunga Rampai,538310
BASSEIN COURT,5 Bassein Road,309836
BASSEIN ROAD,1 Bassein Road,309834
BAYOU RESIDENCE,349 Upper Paya Lebar Road,534957
BAYSHORE PARK,50 Bayshore Road,469977
BAYVILLE CONDOMINIUM,42 South Buona Vista Road,118166
BAYWATER,808 Bedok Reservoir Road,479240
BEACON HEIGHTS,8 Mar Thoma Road,328689
BEATTY ROAD,1 Beatty Road,209943
BEAUFORT ON NASSIM,12 Nassim Road,258380
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road,588177
BEAUTY WORLD PLAZA,140 Upper Bukit Timah Road,588176
BEAVERTON COURT,45 Mount Sinai Rise,276958
BEDOK COURT,295 Bedok South Avenue 3,469296
BEDOK RESIDENCES,16 Bedok North Drive,465494
BEE HWA COURT,Oxley Road,
BELLA CASITA,7 Ipoh Lane,438610
BELLA VISTA,3 Sommerville Road,358227
BELLE VUE RESIDENCES,15 Oxley Walk,238590
BELLERIVE,9 Keng Chin Road,258711
BELLEWATERS,11 Anchorvale Crescent,544649
BELLEWOODS,100 Woodlands Avenue 5,739010
BELLEZZA @ KATONG,46 Ceylon Road,429634
BELMOND GREEN,13 Balmoral Road,259799
BELMONDO VIEW,20 Pegu Road,328369
BELYSA,55 Pasir Ris Drive 1,519530
BENCOOLEN HOUSE,27 Bencoolen Street,189620
BENDIGO GARDENS,115 Koon Seng Road,427048
BENG TONG MANSION,241 Tanjong Katong Road,437029
BERKELEY RESIDENCES,11 Lorong N Telok Kurau,425141
BEVERLY HILL,61 Grange Road,249570
BEVERLY HILL APARTMENTS,61 Grange Road,249570
BEVERLY MAI,31 Tomlinson Road,247855
BIJOU,2 Jalan Mat Jambol,119554
BIRCHWOOD MANSIONS,3 Jalan Ampas,329504
BIRMINGHAM MANSIONS,130 Thomson Road,307682
BISHAN 8,61 Bishan Street 21,574044
BISHAN LOFT,31 Bishan Street 11,579819
BISHAN PARK CONDOMINIUM,14 Sin Ming Walk,575567
BISHAN POINT,61 Bright Hill Drive,579653
BISHOPSGATE RESIDENCES,1 Bishopsgate,247676
BLEU @ EAST COAST,560 Upper East Coast Road,466580
BLISS LOFT,25 Kim Keat Close,328933
BLISS REGALIA,80 Sing Avenue,217920
BLISS RESIDENCES,17 Jalan Masjid,418942
BLISS VILLE,69h Lorong Melayu,417030
BLISS@KOVAN,2a Simon Lane,546018
BLISSFUL VIEW,5a Holland Hill,278730
BLOSSOM MANSIONS,5 Lorong 37 Geylang,387903
