Index,Condo Name,Address
1,1 CANBERRA,"7 Canberra Drive, 768069"
2,1 KIM KEAT CLOSE,"1 Kim Keat Close, 328913"
3,1 LOFT,"1 Lorong 24 Geylang, 398614"
4,1 MOULMEIN RISE,"1 Moulmein Rise, 308143"
5,1 SUITES,"1 Lorong 20 Geylang, 398721"
6,10 SHELFORD,"10 Shelford Road, 288353"
7,104 JALAN JURONG KECHIL,"104 Jalan Jurong Kechil, 598603"
8,11 AMBER ROAD,"11 Amber Road, 439857"
9,111 EMERALD HILL,"111 Emerald Hill Road, 229391"
10,15 EASTWOOD GREEN,"15 Eastwood Green, 48642"
11,16 @ AMBER,"16 Amber Road, 439866"
12,18 WOODSVILLE,"18 Woodsville Close, 357799"
13,183 LONGHAUS,"183 Upper Thomson Road, 574429"
14,2 BELMONT,"2 Belmont Road, 269854"
15,2 RVG,"2 River Valley Grove, 238405"
16,21 RICHARDS,"21 Richards Avenue, 54643"
17,23 RAMBUTAN ROAD,"23 Rambutan Road, 424301"
18,24 ONE RESIDENCES,"241 Pasir Panjang Road, 118596"
19,26 NEWTON,"26 Newton Road, 307957"
20,27 BALMORAL PARK,"27 Balmoral Park, 259855"
21,28 GILSTEAD ROAD,"28 Gilstead Road, 309072"
22,28 IMPERIAL RESIDENCES,"28 Lorong 26 Geylang, 398495"
23,28 RC SUITES,"28 Race Course Lane, 218746"
24,3 @ PHILLIPS,"3 Phillips Avenue, 54692"
25,3 @ SANDILANDS,"3 Sandilands Road, 546066"
26,3 ORCHARD BY-THE-PARK,"3 Orchard Boulevard, 248653"
27,33 RESIDENCES,"33 Lorong 30 Geylang, 398366"
28,336 RIVER VALLEY,"336 River Valley Road, 238366"
29,368 THOMSON,"368 Thomson Road, 298127"
30,38 AMBER,"38 Amber Road, 439877"
31,38 DRAYCOTT DRIVE,"38 Draycott Drive, 259428"
32,38 I SUITES,"38 Ipoh Lane, 438646"
33,38 STEVENS ROAD,"38 Stevens Road, 257845"
34,381 PASIR PANJANG ROAD,"381 Pasir Panjang Road, 118713"
35,448 @ EAST COAST,"448 East Coast Road, 429021"
36,57 @ KOVAN,"57 Kovan Road, 548147"
37,57 KILLINEY ROAD,"57 Killiney Road, 23952"
38,6 DERBYSHIRE,"6 Derbyshire Road, 309462"
39,6 UPPER EAST COAST ROAD,"6 Upper East Coast Road, 4552"
40,62 CHANGI ROAD,"62 Changi Road, 419713"
41,7 ON CHAPEL,"7 Chapel Road, 42951"
42,70@TRURO,"70 Truro Road, 217618"
43,71 WEST COAST HIGHWAY,"71 West Coast Highway, 126844"
44,72 GRANGE ROAD,"72 Grange Road, 249576"
45,8 @ WOODLEIGH,"2 Woodleigh Close, 3579"
46,8 BASSEIN,"8 Bassein Road, 309838"
47,8 EDEN GROVE,"8 Eden Grove, 53906"
48,8 FARRER SUITES,"8 Sing Joo Walk, 21782"
49,8 HULLET,"8 Hullet Road, 22916"
50,8 NAPIER,"8 Napier Road, 258502"
51,8 NASSIM HILL,"8 Nassim Hill, 258484"
52,8 ORANGE GROVE ROAD,"8 Orange Grove Road, 258342"
53,8 RAJA,"8 Jalan Raja Udang, 329217"
54,8 SAINT THOMAS,"10 Saint Thomas Walk, 238102"
55,833 M B RESIDENCES,"833 Mountbatten Road, 437826"
56,8M RESIDENCES,"8 Margate Road, 438049"
57,90 HOLLAND ROAD,"90 Holland Road, 278535"
58,91 MARSHALL,"91 Marshall Road, 424887"
59,AALTO,"191 Meyer Road, 43798"
60,ADAM GREEN,"7 Adam Road, 289885"
61,ADANA @ THOMSON,"8 Old Upper Thomson Road, 573868"
62,ADORA GREEN,"134 Yishun Ave 11, 761348"
63,ADRIA,"12 Derbyshire Road, 309466"
