Index,Condo Name,Address,Postal Code
1,1 CANBERRA,"7 Canberra Drive, 768069",768069
2,1 KIM KEAT CLOSE,"1 Kim Keat Close, 328913",328913
3,1 LOFT,"1 Lorong 24 Geylang, 398614",398614
4,1 MOULMEIN RISE,"1 Moulmein Rise, 308143",308143
5,1 SUITES,"1 Lorong 20 Geylang, 398721",398721
6,10 SHELFORD,"10 Shelford Road, 288353",288353
7,104 JALAN JURONG KECHIL,"104 Jalan Jurong Kechil, 598603",598603
8,11 AMBER ROAD,"11 Amber Road, 439857",439857
9,111 EMERALD HILL,"111 Emerald Hill Road, 229391",229391
10,15 EASTWOOD GREEN,"15 Eastwood Green, 48642",486420
11,16 @ AMBER,"16 Amber Road, 439866",439866
12,18 WOODSVILLE,"18 Woodsville Close, 357799",357799
13,183 LONGHAUS,"183 Upper Thomson Road, 574429",574429
14,2 BELMONT,"2 Belmont Road, 269854",269854
15,2 RVG,"2 River Valley Grove, 238405",238405
16,21 RICHARDS,"21 Richards Avenue, 54643",546430
17,23 RAMBUTAN ROAD,"23 Rambutan Road, 424301",424301
18,24 ONE RESIDENCES,"241 Pasir Panjang Road, 118596",118596
19,26 NEWTON,"26 Newton Road, 307957",307957
20,27 BALMORAL PARK,"27 Balmoral Park, 259855",259855
21,28 GILSTEAD ROAD,"28 Gilstead Road, 309072",309072
22,28 IMPERIAL RESIDENCES,"28 Lorong 26 Geylang, 398495",398495
23,28 RC SUITES,"28 Race Course Lane, 218746",218746
24,3 @ PHILLIPS,"3 Phillips Avenue, 54692",546920
25,3 @ SANDILANDS,"3 Sandilands Road, 546066",546066
26,33 RESIDENCES,"33 Lorong 30 Geylang, 398366",398366
27,336 RIVER VALLEY,"336 River Valley Road, 238366",238366
28,368 THOMSON,"368 Thomson Road, 298127",298127
29,38 AMBER,"38 Amber Road, 439877",439877
30,38 DRAYCOTT DRIVE,"38 Draycott Drive, 259428",259428
31,38 I SUITES,"38 Ipoh Lane, 438646",438646
32,38 STEVENS ROAD,"38 Stevens Road, 257845",257845
33,381 PASIR PANJANG ROAD,"381 Pasir Panjang Road, 118713",118713
34,448 @ EAST COAST,"448 East Coast Road, 429021",429021
35,57 @ KOVAN,"57 Kovan Road, 548147",548147
36,6 DERBYSHIRE,"6 Derbyshire Road, 309462",309462
37,6 UPPER EAST COAST ROAD,"6 Upper East Coast Road, 4552",455200
38,62 CHANGI ROAD,"62 Changi Road, 419713",419713
39,7 ON CHAPEL,"7 Chapel Road, 42951",429510
40,70@TRURO,"70 Truro Road, 217618",217618
41,71 WEST COAST HIGHWAY,"71 West Coast Highway, 126844",126844
42,72 GRANGE ROAD,"72 Grange Road, 249576",249576
43,8 @ WOODLEIGH,"2 Woodleigh Close, 3579",357903
