Index,Address,GPR,Area,Dwelling Units,LRA,Height control,Max dwelling units,Road setback
1,1 CANBERRA,2.5,"18,040.6 sqm",496,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['.', 'CAT4', '7.5m (3m)']"
2,1 KIM KEAT CLOSE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
3,1 LOFT,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
4,1 MOULMEIN RISE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['MOULMEIN RISE', 'NCAT', '7.5m (3m)']"
5,1 SUITES,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['HULLET ROAD', 'NCAT', '7.5m (3m)']"
6,10 SHELFORD,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['SHELFORD ROAD', 'CAT5', '7.5m (3m)']"
7,104 JALAN JURONG KECHIL, , , , , , , 
8,11 AMBER ROAD,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['AMBER ROAD', 'CAT5', '7.5m (3m)']"
9,111 EMERALD HILL,Subject to detailed evaluation,"2,769.5 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['SAUNDERS ROAD', 'NCAT', '7.5m (3m)']"
10,15 EASTWOOD GREEN, , , , , , , 
